Part,,,Quantity needed for,,,,,
Name,Mouser Nr.,Reichelt Nr.,1x ring board,1x encoder board,1x usb board,complete Arc 2,complete Arc 4,
ATMega88PA-AU,556-ATMEGA88PA-AU,,,1,1,3,5,
L5970D DC/DC regulator,511-L5970D,,,,1,1,1,
FT245RL,895-FT245RL,,,,1,1,1,
TLC5940,595-TLC5940PWP,,1,,,2,4,
74HC595,771-74HC595D-T,,1,,,2,4,
,,,,,,,,
MOSFET IRLML5203,942-IRLML5203TRPBF,,,1,,2,4,
MOSFET BSP171P,726-BSP171PH6327XTSA,,4,,,8,16,
LED (small!),604-APT1608SYCK or similar,,64,,,128,256,
diode MBRS240LT3G,863-MBRS240LT3G,,,,1,1,1,
,,,,,,,,
crystal 20MHz,520-200-18-5PXEN,,,1,1,3,5,
,,,,,,,,
ceramic cap 22pF,77-VJ0603A220JXACBC,,,2,2,6,10,
ceramic cap 220pF,581-06033A221FAT2A,,,,1,1,1,
ceramic cap 10nF,77-VJ0603Y103KXAAC,,,3,,6,12,
ceramic cap 22nF,77-VJ0603V223ZXXPBC,,,,1,1,1,
ceramic cap 100nF,77-VJ0603Y104JXQCBC,,7,5,4,28,52,
ceramic cap 10uF,81-GRM188R61A106ME9D,,,,1,1,1,
electrolytic cap 10uF,140-VE100M1HTR0505,,4,2,,12,24,
,,,,,,,,
resistor 330,71-CRCW0603-330-E3,,,3,,6,12,
resistor 1k,71-CRCW0603-1.0K-E3,,,1,,2,4,
resistor 3k3,71-CRCW06033K32FKEB,,,,3,3,3,
resistor 4k7,594-MCT06030C4701FP5,,4,3,2,16,30,
resistor 5k6,594-MCT06030C5601FP5,,,,1,1,1,
resistor 10k,71-CRCW0603-10K-E3,,1,2,3,9,15,
current-set resistor,depending on led,,1,,,2,4,
,,,,,,,,
inductor 15uH,704-DRA73-150-R,L-PIS2816 15Âµ,,,1,1,1,
,,,,,,,,
adress selection switch 2 pole,774-2192MST,,,1,,2,4,
USB B connector,649-61729-1011BLF,,,,1,1,1,
"2pin molex connector, angled (optional)",,,,,1,1,1,
2x1 pinheader male,,,,,1,1,1,
"2x5 pinheader male, SMD",,,1,,,2,4,
"2x5 pinheader female, SMD",,,,1,,2,4,
jumper bridge,,,,,1,1,1,
micromatch 2x4 female,571-338069-8,,,1,1,3,5,
micromatch 2x4 male,571-215083-8,,,1,1,3,5,
micromatch 2x5 female,571-8-188275-0,,,1,1,3,5,
micromatch 2x5 male (for programming),571-8-215083-0,,,1,1,1,1,
,,,,,,,,
Bourns EM14 encoder,652-EM14ROD-M20L064S,,,1,,2,4,
,,,,,,,,
8pole /10pole cable for micromatch,,,,3,,6,12,
,,,,,,,,
All ceramic capacitors and resistors in 0603 package,,,,,,,,
,,,,,,,,
,,,,,,,,